date,oi_binance_usd,oi_bybit_usd,oi_kraken_usd,oi_okx_usd,open_interest_usd,oi_venue_count,btc_close,estimated_long_liquidated_usd,estimated_short_liquidated_usd,observed_liquidated_long_usd,observed_liquidated_short_usd,observed_long_event_count,observed_short_event_count,unknown_notional_event_count,liquidation_observation_available,observed_liquidation_dominance_pct,estimated_liquidation_dominance_pct,liquidated_interest_long_usd,liquidated_interest_short_usd,liquidation_dominance_pct,liquidation_source,liquidation_dominance_14d_pct
2023-06-14,2603859839.0158,1539288868.7673,27499582.2332,,4170648290.0163,3,25119.95,80834467.84197646,7365.238699632684,0.0,0.0,0,0,0,False,0.0,99.98177864499367,80834467.84197646,7365.238699632684,99.98177864499367,estimated,89.21950967171485
2023-06-15,2662867626.2135997,1539163284.9441,33095886.622399997,,4235126797.7800994,3,25589.05,4538944.865860666,538222.6523226338,0.0,0.0,0,0,0,False,0.0,78.79831026275771,4538944.865860666,538222.6523226338,78.79831026275771,estimated,88.52663783829186
2023-06-16,2756861855.616,1583388991.1796,31482077.7246,,4371732924.5202,3,26338.55,226805.98021828983,4761625.976810244,0.0,0.0,0,0,0,False,0.0,-90.90672250630872,226805.98021828983,4761625.976810244,-90.90672250630872,estimated,85.52292286175054
2023-06-17,2737839881.2314,1694986692.48,36064838.6118,,4468891412.3232,3,26511.1,23815.600555744913,7335129.799140158,0.0,0.0,0,0,0,False,0.0,-99.35274419737564,23815.600555744913,7335129.799140158,-99.35274419737564,estimated,80.97708256257768
2023-06-18,2745134600.9891,1589265145.5765002,35387333.3382,,4369787079.9038,3,26339.75,92815.43877203067,15868.028208367321,0.0,0.0,0,0,0,False,0.0,70.79955461628904,92815.43877203067,15868.028208367321,70.79955461628904,estimated,81.12951261283608
2023-06-19,2925702467.3405,1672477902.2196002,35040236.231,,4633220605.7911005,3,26836.75,0.0,3534041.262699079,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,3534041.262699079,-100.0,estimated,58.359899819378604
2023-06-20,3436053919.1549997,1811933782.748,35369094.383999996,,5283356796.287,3,28292.699999999997,46552.4991653434,89283223.36422004,0.0,0.0,0,0,0,False,0.0,-99.8957738364047,46552.4991653434,89283223.36422004,-99.8957738364047,estimated,4.506774359253364
2023-06-21,3507955707.973,2041011303.9835,37681797.1488,,5586648809.1053,3,29998.75,0.0,328404565.6601012,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,328404565.6601012,-100.0,estimated,-60.23404435672418
2023-06-22,3522206902.625,1796774194.9764,33554516.904,,5352535614.505401,3,29878.2,1042738.6431784417,864499.8437002784,0.0,0.0,0,0,0,False,0.0,9.345386049222345,1042738.6431784417,864499.8437002784,9.345386049222345,estimated,-59.9900135721555
2023-06-23,3526220904.1682,1941146892.4389,41010875.2586,,5508378671.8657,3,30683.65,0.0,132783425.84101026,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,132783425.84101026,-100.0,estimated,-67.84576427741612
2023-06-24,3464191610.6210003,1982587261.248,44234626.1645,,5491013498.033501,3,30533.05,127812.40966379778,0.0,0.0,0.0,0,0,0,False,0.0,100.0,127812.40966379778,0.0,100.0,estimated,-73.43947880323553
2023-06-25,3468368870.476,1954109567.1691,43604844.4942,,5466083282.139299,3,30468.199999999997,34936.40819334115,213089.06286151637,0.0,0.0,0,0,0,False,0.0,-71.82837065503323,34936.40819334115,213089.06286151637,-71.82837065503323,estimated,-73.43859242987976
2023-06-26,3479702432.9691,1944142201.1988,42304048.712,,5466148682.8799,3,30268.050000000003,1907018.2146474593,576.9424170109812,0.0,0.0,0,0,0,False,0.0,99.93951102099685,1907018.2146474593,576.9424170109812,99.93951102099685,estimated,-72.93567931978943
2023-06-27,3560832796.2272,1988697079.4892,48023129.6262,,5597553005.3426,3,30686.65,0.0,116628.11025749761,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,116628.11025749761,-100.0,estimated,-72.93397785441744
2023-06-28,3373274216.9412003,1982909773.9509,45845264.85,,5402029255.742101,3,30074.0,1801458.6566056556,0.0,0.0,0.0,0,0,0,False,0.0,100.0,1801458.6566056556,0.0,100.0,estimated,-96.59234743470961
2023-06-29,3598595876.4699,2026569066.0006003,45667089.837,,5670832032.307501,3,30449.1,0.0,11325.392372959977,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,11325.392372959977,-100.0,estimated,-98.14750438850773
2023-06-30,3227815916.262,2007822227.4175,55109060.3943,,5290747204.073801,3,30470.3,10511235.465397695,3369059.694263274,0.0,0.0,0,0,0,False,0.0,51.455503568044236,10511235.465397695,3369059.694263274,51.455503568044236,estimated,-94.63874389204504
2023-07-01,3341230617.3408,1813432004.197,52307474.262399994,,5206970095.8001995,3,30585.45,0.0,1697.6669806088312,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,1697.6669806088312,-100.0,estimated,-94.57834119230465
2023-07-02,3323519664.0265,1820838694.3922,52003846.8675,,5196362205.286201,3,30616.800000000003,110372.91879517675,23222.38369418571,0.0,0.0,0,0,0,False,0.0,65.2347301716918,110372.91879517675,23222.38369418571,65.2347301716918,estimated,-94.57246082631401
2023-07-03,3674545298.982,1835162402.5693,53142573.8817,,5562850275.433,3,31153.15,0.0,2158304.323947556,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,2158304.323947556,-100.0,estimated,-94.55942536359441
2023-07-04,3507230065.9600997,1887483926.9728,51812672.6164,,5446526665.549299,3,30761.75,1506318.4250017826,56432.06106142708,0.0,0.0,0,0,0,False,0.0,92.77785397416994,1506318.4250017826,56432.06106142708,92.77785397416994,estimated,-92.97306392392409
2023-07-05,3432721792.0068,1890466038.4993,52129976.197,,5375317806.703099,3,30492.9,3593806.06944765,0.0,0.0,0.0,0,0,0,False,0.0,100.0,3593806.06944765,0.0,100.0,estimated,-74.24304136302415
2023-07-06,3080003587.82,1862180857.5955,63916471.9235,,5006100917.339001,3,29883.949999999997,9731054.673961516,12510237.468635472,0.0,0.0,0,0,0,False,0.0,-12.495599522076354,9731054.673961516,12510237.468635472,-12.495599522076354,estimated,-67.52025689800952
2023-07-07,3139731088.5198,1856761092.726,65843145.849,,5062335327.0948,3,30339.8,12640481.413830755,46193.5971880811,0.0,0.0,0,0,0,False,0.0,99.2717777172039,12640481.413830755,46193.5971880811,99.2717777172039,estimated,38.79153076122641
2023-07-08,3135899056.2298,1824374149.9989,61402948.148,,5021676154.3767,3,30278.0,54098.11962245981,0.0,0.0,0.0,0,0,0,False,0.0,100.0,54098.11962245981,0.0,100.0,estimated,38.71682675297779
2023-07-09,3079356617.7478,1802343151.35,62774054.31,,4944473823.4078,3,30156.85,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,39.17265788731597
2023-07-10,3224061910.5996,1886417457.6613,61776570.549200006,,5172255938.8101,3,30406.449999999997,278.82642219115576,564560.7046118712,0.0,0.0,0,0,0,False,0.0,-99.90127234130351,278.82642219115576,564560.7046118712,-99.90127234130351,estimated,35.865674327473094
2023-07-11,3305796943.8288,1949605760.4501,64183427.7648,,5319586132.0437,3,30614.6,0.0,271072.77434758714,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,271072.77434758714,-100.0,estimated,35.50978393434061
2023-07-12,3375349750.5794,1916286528.924,65698160.8282,,5357334440.3316,3,30376.6,502821.0974971736,1186372.5852923659,0.0,0.0,0,0,0,False,0.0,-40.466140428987,502821.0974971736,1186372.5852923659,-40.466140428987,estimated,31.354832529105447
2023-07-13,3502003963.1624,2145368621.9448,66641625.491799995,,5714014210.599,3,31449.6,0.0,72212126.96126741,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,72212126.96126741,-100.0,estimated,-41.014053324698
2023-07-14,3065477571.1049,1908848385.628,69440335.911,,5043766292.6439,3,30299.0,46358706.00725386,193962.96951011827,0.0,0.0,0,0,0,False,0.0,99.16669452569118,46358706.00725386,193962.96951011827,99.16669452569118,estimated,-8.994658663354063
2023-07-15,3031029473.2564,1911307689.8714,70676314.16,,5013013477.2878,3,30286.85,0.0,0.0,0.0,0.0,0,0,0,False,0.0,0.0,0.0,0.0,0.0,none,-8.993715001226544
2023-07-16,3049936696.6176,1913669215.524,70739894.226,,5034345806.3675995,3,30226.1,5750.826514321055,1421.45715497785,0.0,0.0,0,0,0,False,0.0,60.36249483376057,5750.826514321055,1421.45715497785,60.36249483376057,estimated,-9.05129125190904
2023-07-17,3157324215.9775996,1942279947.12,73561483.479,,5173165646.576599,3,30133.55,3777346.053983939,0.0,0.0,0.0,0,0,0,False,0.0,100.0,3777346.053983939,0.0,100.0,estimated,-5.369866054860827
2023-07-18,3188182829.6695995,1934606712.674,72029004.41250001,,5194818546.7561,3,29854.2,36203579.879623845,0.0,0.0,0.0,0,0,0,False,0.0,100.0,36203579.879623845,0.0,100.0,estimated,12.95044937467793
2023-07-19,3133255396.442,2024273556.9488,72659256.912,,5230188210.3028,3,29904.75,0.0,51649.714352942276,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,51649.714352942276,-100.0,estimated,11.327148077486147
2023-07-20,3268466239.11,2029967097.8615,73199417.86299999,,5371632754.8345,3,29800.35,248900.9026080576,976216.1211797388,0.0,0.0,0,0,0,False,0.0,-59.366999596738935,248900.9026080576,976216.1211797388,-59.366999596738935,estimated,13.8556783822067
2023-07-21,3187460860.1682005,1933037141.8092,72397474.4788,,5192895476.456201,3,29894.25,0.0,250187.12933510254,0.0,0.0,0,0,0,False,0.0,-100.0,0.0,250187.12933510254,-100.0,estimated,7.026880696381619
2023-07-22,3146928005.319,1905995710.56,72374422.23779999,,5125298138.116799,3,29789.4,69760.42385060714,0.0,0.0,0.0,0,0,0,False,0.0,100.0,69760.42385060714,0.0,100.0,estimated,7.035821146620487
