date,directional_bias,directional_bias_score,volatility_potential,volatility_potential_score,directional_volatility_score,leverage_fuel_score,new_oi_addition_score,oi_zone_reactivation_score,oi_anchor_direction_score,estimated_oi_anchor_price,volatility_trigger_score,realized_volatility_regime_score,cascade_activation_score,liquidation_impulse_score,funding_crowding_score,signal_confidence_score,heatmap_open_interest_usd,heatmap_oi_venue_count,heatmap_liquidation_dominance_pct,heatmap_liquidated_interest_long_usd,heatmap_liquidated_interest_short_usd,liquidation_pressure_downside_score,liquidation_pressure_upside_score,liquidation_pressure_net_score,liquidation_wall_downside_distance_bps,liquidation_wall_downside_amount_score,liquidation_wall_upside_distance_bps,liquidation_wall_upside_amount_score,oi_area_downside_distance_bps,oi_area_downside_amount_score,oi_area_upside_distance_bps,oi_area_upside_amount_score,cascade_closeness_amount_score,cascade_closeness_amount_direction_score,cascade_threshold_state,btc_forward_jump_1d_pct,btc_forward_jump_3d_pct,btc_forward_jump_7d_pct,btc_forward_abs_jump_7d_pct,btc_forward_jump_direction,regime
2024-08-13,neutral,9.73311453579,elevated,62.8318835347,0,51.0221823745,39.1684294266,86.509236694,9.291766665,65474.4978533,0,100,0,17.275703501,36.1358357655,82.5641025641,8692114974.69,4,-79.8740903287,544183.061073,4863602.92187,37.438067711,60.0141148322,22.5760471212,-764.435585166,39.9855066757,1685.94084438,48.4174205201,-756.24961201,29.074524285,1224.58907316,57.6969399088,60.0141148322,7.80441758883,watch,-3.14184028208,-5.01977688046,-5.01977688046,5.01977688046,downside,neutral
2024-08-14,neutral,-3.31137972598,elevated,64.7942061788,0,50.4376341793,54.477872835,80.4412288704,13.0898454975,64670.319738,9.40068149314,100,-0,-60.8833837685,48.8575519377,82.5641025641,9057162378.69,4,79.8468308695,9458589.48102,1059904.99041,56.4076185063,57.9683293696,1.56071086322,-463.959560055,45.3266718875,948.188503561,34.4554151588,-455.507258977,29.0172643834,1589.77735584,57.6709341673,64.8554956738,-4.77519701234,watch,-1.93885223903,-1.93885223903,4.21479979744,4.21479979744,upside,neutral
2024-08-15,neutral,-1.76206065401,elevated,43.6990975635,0,50.7209483649,54.6211788082,76.3302096345,18.4641715552,63848.1377371,0,55.2195370608,-0,-69.5793331679,69.006141962,82.5641025641,9268223974.98,4,95.0111098872,50919730.1725,1302658.80007,61.7992361962,58.0827090717,-3.7165271245,-274.190167821,41.2002876961,1166.05996619,33.8619800888,-420.087163852,17.1159839909,545.647210139,38.2898571002,63.3551112486,-4.37428104606,watch,2.33677035698,3.40369668411,6.27532124289,6.27532124289,upside,neutral
2024-08-16,neutral,10.9054308577,elevated,47.6365343256,0,53.981985919,2.33805034782,82.0142168407,17.693936594,64048.2925818,0,57.8560099827,0,12.3067601376,32.9292356536,95.0641025641,9411560744.82,4,-99.1143356261,41586.0269049,9349336.34318,51.3834691774,71.1354094711,19.7519402936,-497.47217764,40.699887107,909.713157648,34.9207175465,-640.019717424,17.0074983243,303.543637835,38.2332955342,71.1354094711,12.4544202841,cascade-ready,1.04256400062,1.04256400062,8.77581985527,8.77581985527,upside,neutral
2024-08-17,upside,14.0023009823,elevated,51.8218630246,51.8218630246,57.3049884265,28.8172467646,84.9948845895,16.9765884214,63949.2866697,0,58.6513991002,0,24.4450254286,9.80398875397,95.0641025641,9472175606.26,4,-100,0,104659.79431,50.2104698515,85.7434076731,35.5329378216,-595.473353005,44.3344451703,797.199442105,34.211355278,-325.664596079,36.0933085622,197.281450992,38.2332955342,85.7434076731,26.2342041612,cascade-ready,-1.81356516475,-1.81356516475,7.81590253664,7.81590253664,upside,elevated upside volatility potential
2024-08-18,neutral,9.87774234336,elevated,43.5538945166,0,57.0731866739,35.9006485876,82.0203549229,18.7640986778,63496.894629,0,50.5038551566,-0,18.8586606179,41.4777547452,82.5641025641,9458136633.46,4,-91.9190259486,593386.164309,14092619.7685,62.1303590621,65.6350632309,3.50470416885,-422.993358359,44.3829515513,995.221200336,33.5832177173,-148.236280832,35.579282583,1639.56627607,55.714014512,65.6350632309,1.66529619234,cascade-ready,1.72717931153,4.67545812639,9.93355026546,9.93355026546,upside,neutral
2024-08-19,neutral,8.52003659827,elevated,47.104595004,0,61.9195832225,45.2278849944,85.5585629849,21.6246776688,63371.5034371,0,52.0337101304,0,-48.0671289825,72.4869891233,70.0641025641,9314192118.32,4,78.3297701273,1862549.59351,226332.809221,50.0474803303,76.6953603016,26.6478799713,-584.615605487,43.3002365358,809.665063166,32.5510495127,-725.855905611,16.1320865099,1443.13612544,54.3838568655,76.6953603016,17.6744800275,cascade-ready,-0.699680968375,2.89822133556,8.06703872993,8.06703872993,upside,neutral
2024-08-20,upside,16.950869187,elevated,44.8479986272,44.8479986272,63.7063231536,40.9852197637,85.0635993172,24.7768318414,63073.7281244,0,48.8222612357,-0,24.4901355364,77.2027955631,82.5641025641,9530880838.27,4,-99.2110947479,167660.795541,42337011.3653,58.4878958195,68.7610952342,10.2731994147,-516.785390986,42.7440118771,887.539939984,32.1826458092,-659.043213013,16.1320865099,1525.57464791,54.3305044003,68.7610952342,7.32655140925,cascade-ready,3.62325351924,8.53976321951,8.82849096942,8.82849096942,upside,elevated upside volatility potential
2024-08-21,upside,26.1505988066,elevated,56.8158855355,56.8158855355,67.881806119,13.1136030064,90.3823765655,23.5927558111,63369.4535308,18.9526758124,50.9961540465,3.03530680602,34.4402660818,46.3284606818,95.0641025641,9939744003.09,4,-100,0,21360601.9586,54.999833446,100,45.000166554,-849.676979241,42.0700831633,505.351978175,31.7462974346,-986.941090352,15.9659550711,1120.98959861,54.0296104789,100,43.3345552947,cascade-ready,-1.25998036649,4.90265052356,5.02323298429,5.02323298429,upside,elevated upside volatility potential
2024-08-22,neutral,1.72606896584,elevated,49.6234996283,0,70.4430256249,50.9133685178,89.8422071523,24.0441959957,63089.4976079,0,49.0474117217,-0,-44.2729054882,24.2838063993,82.5641025641,9953980813,4,100,5020951.49902,0,62.880936974,91.8440573735,28.9631203995,-732.659845528,41.0509056763,639.697637269,35.5148840602,-282.744834947,83.691283067,1263.20822018,53.3072976137,91.8440573735,8.45732795385,cascade-ready,6.08120311716,6.36339082583,6.36339082583,6.36339082583,upside,high-fuel neutral
2024-08-23,upside,24.3601554986,high,72.1466794261,72.1466794261,76.2444162145,50.9744891315,93.3487811474,24.0018927031,63618.6344562,57.8066895283,70.648361384,10.5786837083,40.5286712039,65.9624510522,95.0641025641,10881646201.3,4,-100,0,308480621.779,66.4339970881,100,33.5660029119,-939.962537252,51.9694052939,946.773968146,77.1213931159,-804.55445441,98.2559536225,618.161046629,53.3072976115,100,16.9507154008,cascade-ready,0.15089058246,-1.89362994944,-7.82553549756,7.82553549756,downside,high upside volatility potential
2024-08-24,neutral,4.6787008438,elevated,62.0344045138,0,82.4161002496,84.7127705555,94.0084748298,22.8597886528,63667.2671869,0,69.9924991115,0,-30.3287729198,11.2113842201,70.0641025641,11003919315.8,4,20.9083960101,211218.66147,138167.598608,70.0583251554,100,29.9416748446,-955.590938035,64.2362791524,927.890981011,83.7547770166,-820.416431687,96.5122119908,599.844910841,52.5458751787,100,16.9308381471,cascade-ready,0.11494701052,-7.38031551941,-8.0706214469,8.0706214469,downside,high-fuel neutral
2024-08-25,upside,16.5373390135,elevated,62.7411976484,62.7411976484,88.3246756208,84.0645876791,94.4256877683,22.7757608545,63715.4290058,0,67.8724898781,0,45.0055305556,22.2775932449,95.0641025641,11181018217.6,4,-99.0778404203,41013.5314466,8854091.46968,73.3779016994,100,26.6220983006,-964.113286351,73.5856957407,917.593868986,86.0442401015,-829.066151977,96.5122119908,589.856909435,52.5458751787,100,16.2631222549,cascade-ready,-2.15391134472,-8.07007923328,-10.7837333425,10.7837333425,downside,elevated upside volatility potential
2024-08-26,neutral,-1.11760218803,elevated,62.7035440365,0,95.0911082221,96.7808113984,94.7295398864,24.2400614819,63506.2509554,0,69.0299182439,-0,-39.3904610322,32.3595161538,82.5641025641,10709993317.1,4,100,4183799.76745,0,99.4403476237,91.4160499157,-8.02429770806,-765.629131145,69.3227997443,1157.4119925,80.9989022155,-627.615523504,93.3405258687,822.475895156,50.3607821835,99.4403476237,-8.02429770806,cascade-ready,-5.45013660767,-6.04640202778,-8.81979250919,8.81979250919,downside,high-fuel neutral
